file,n,m,FVS_size,runtime,validity,kernelization_time,gnn_candidate_time
grid_000000.txt,1221,2372,401,30.289142,True,0.003751,0.0
grid_000002.txt,312,586,100,2.140987,True,0.000868,0.0
grid_000004.txt,598,1137,200,8.525365,True,0.002308,0.0
grid_000006.txt,629,1204,202,10.171222,True,0.001954,0.0
grid_000008.txt,1804,3523,601,30.017187,True,0.005669,0.0
grid_000010.txt,765,1468,244,16.44534,True,0.002321,0.0
grid_000012.txt,594,1137,189,8.701106,True,0.001789,0.0
grid_000014.txt,594,1139,192,9.998862,True,0.001747,0.0
grid_000016.txt,1081,2092,361,30.00469,True,0.003221,0.0
grid_000018.txt,602,1147,198,8.554175,True,0.001795,0.0
grid_000020.txt,1575,3070,530,30.018264,True,0.004602,0.0
grid_000022.txt,840,1619,272,16.206613,True,0.002549,0.0
grid_000024.txt,252,471,81,1.421803,True,0.000726,0.0
grid_000026.txt,522,997,166,11.894779,True,0.001471,0.0
grid_000028.txt,2256,4417,753,30.017038,True,0.006969,0.0
grid_000030.txt,960,1852,309,24.95293,True,0.002717,0.0
grid_000032.txt,833,1600,266,19.140567,True,0.002283,0.0
grid_000034.txt,667,1282,216,13.348994,True,0.00203,0.0
grid_000036.txt,840,1618,277,17.826509,True,0.002431,0.0
grid_000038.txt,286,535,89,1.946128,True,0.000729,0.0
grid_000040.txt,578,1105,183,8.535413,True,0.001856,0.0
grid_000042.txt,837,1616,266,18.984452,True,0.002455,0.0
grid_000044.txt,645,1232,213,10.185914,True,0.002007,0.0
grid_000046.txt,2050,4009,679,30.016252,True,0.005858,0.0
grid_000048.txt,429,812,132,4.635983,True,0.001103,0.0
grid_000050.txt,735,1414,237,13.988867,True,0.002342,0.0
grid_000052.txt,714,1373,226,17.29176,True,0.002349,0.0
grid_000054.txt,315,594,100,2.524364,True,0.000918,0.0
grid_000056.txt,285,536,89,1.905021,True,0.000758,0.0
grid_000058.txt,620,1189,198,10.173143,True,0.001759,0.0
grid_000060.txt,407,766,128,5.064565,True,0.001092,0.0
grid_000062.txt,209,388,65,0.976613,True,0.00073,0.0
grid_000064.txt,1395,2714,454,30.005501,True,0.003915,0.0
grid_000066.txt,2150,4207,709,30.016682,True,0.006552,0.0
grid_000068.txt,1260,2448,421,30.005743,True,0.004017,0.0
grid_000070.txt,779,1498,244,13.815572,True,0.002352,0.0
grid_000072.txt,1755,3426,591,30.017689,True,0.005123,0.0
grid_000074.txt,782,1501,260,15.594218,True,0.002536,0.0
grid_000076.txt,1300,2524,424,30.005761,True,0.003766,0.0
grid_000078.txt,550,1053,174,7.655672,True,0.001495,0.0
grid_000080.txt,656,1255,216,11.344843,True,0.002032,0.0
grid_000082.txt,130,237,39,0.338727,True,0.000317,0.0
grid_000084.txt,1274,2473,418,30.005473,True,0.003776,0.0
grid_000086.txt,176,325,54,0.712576,True,0.000466,0.0
grid_000088.txt,1131,2194,376,30.005328,True,0.003558,0.0
grid_000090.txt,616,1182,197,10.195251,True,0.001911,0.0
grid_000092.txt,1591,3102,518,30.017613,True,0.00504,0.0
grid_000094.txt,2205,4316,734,30.016116,True,0.006573,0.0
grid_000096.txt,648,1242,209,12.412126,True,0.001994,0.0
grid_000098.txt,960,1852,321,25.303913,True,0.003005,0.0
grid_000100.txt,1320,2567,435,30.005815,True,0.003867,0.0
grid_000102.txt,740,1423,239,14.303841,True,0.002307,0.0
grid_000104.txt,688,1317,217,18.131227,True,0.002205,0.0
grid_000106.txt,1116,2165,360,30.005207,True,0.003449,0.0
grid_000108.txt,2350,4603,785,30.018831,True,0.007898,0.0
grid_000110.txt,920,1777,300,22.354125,True,0.002605,0.0
grid_000112.txt,1628,3175,543,30.017498,True,0.005135,0.0
grid_000114.txt,1536,2992,502,30.016851,True,0.004314,0.0
grid_000116.txt,1332,2591,434,30.006132,True,0.00407,0.0
grid_000118.txt,1886,3685,625,30.028562,True,0.017031,0.0
grid_000120.txt,1564,3048,522,30.01765,True,0.005053,0.0
grid_000122.txt,1276,2479,427,30.005908,True,0.004027,0.0
grid_000124.txt,1476,2875,490,30.00638,True,0.004181,0.0
grid_000126.txt,418,787,132,4.193306,True,0.001123,0.0
grid_000128.txt,580,1111,187,8.008848,True,0.002138,0.0
grid_000130.txt,777,1496,250,14.344668,True,0.002291,0.0
grid_000132.txt,880,1698,286,29.071207,True,0.00256,0.0
grid_000134.txt,414,787,133,4.723066,True,0.001216,0.0
grid_000136.txt,684,1312,221,16.587601,True,0.002098,0.0
grid_000138.txt,364,687,114,3.129707,True,0.000982,0.0
grid_000140.txt,966,1867,314,25.202276,True,0.002957,0.0
grid_000142.txt,1240,2409,408,30.005373,True,0.003714,0.0
grid_000144.txt,228,425,72,1.132425,True,0.000613,0.0
grid_000146.txt,1100,2128,369,30.004864,True,0.003371,0.0
grid_000148.txt,645,1232,213,10.098137,True,0.002014,0.0
grid_000150.txt,1131,2194,370,30.005272,True,0.003717,0.0
grid_000152.txt,1353,2632,445,30.005928,True,0.00389,0.0
grid_000154.txt,650,1249,208,10.561167,True,0.001957,0.0
grid_000156.txt,234,437,73,1.266305,True,0.000596,0.0
grid_000158.txt,1419,2762,471,30.005943,True,0.004279,0.0
grid_000160.txt,1044,2023,341,30.005058,True,0.003497,0.0
grid_000162.txt,1845,3604,613,30.017282,True,0.005297,0.0
grid_000164.txt,1504,2929,490,30.01741,True,0.004381,0.0
grid_000166.txt,272,511,87,1.647036,True,0.000661,0.0
grid_000168.txt,936,1809,306,29.219159,True,0.002913,0.0
grid_000170.txt,1360,2646,442,30.006039,True,0.004267,0.0
grid_000172.txt,462,881,150,5.509647,True,0.001319,0.0
grid_000174.txt,598,1147,193,8.963846,True,0.001818,0.0
grid_000176.txt,646,1237,210,10.368462,True,0.002025,0.0
grid_000178.txt,696,1339,227,12.625333,True,0.002016,0.0
grid_000180.txt,740,1423,239,14.22076,True,0.002211,0.0
grid_000182.txt,816,1567,261,17.986745,True,0.002385,0.0
grid_000184.txt,690,1319,230,11.443019,True,0.002105,0.0
grid_000186.txt,987,1906,329,24.767809,True,0.003132,0.0
grid_000188.txt,561,1072,179,7.991725,True,0.001649,0.0
grid_000190.txt,957,1852,310,25.752259,True,0.002945,0.0
grid_000192.txt,1806,3527,602,30.028276,True,0.016612,0.0
grid_000194.txt,684,1312,221,16.461515,True,0.001987,0.0
grid_000196.txt,308,577,97,2.223066,True,0.000804,0.0
grid_000198.txt,697,1336,229,16.561414,True,0.002079,0.0
grid_000200.txt,1092,2116,358,30.004534,True,0.003092,0.0
grid_000202.txt,1435,2794,470,30.006621,True,0.004836,0.0
grid_000204.txt,1012,1957,337,26.9279,True,0.003365,0.0
grid_000206.txt,731,1402,231,21.807587,True,0.002223,0.0
grid_000208.txt,420,788,128,4.062414,True,0.001072,0.0
